learnerID,learnerProfile,testID,theta,realScore,Timestamp
A090000570,F;S01;9,A090000001,-0.4677918113,0.2847126175,2021-01-08 06:08:25.336946
A090000503,M;S01;9,A090000001,-0.7086324782,0.2329092068,2021-01-08 06:08:25.336946
A090000040,F;S01;9,A090000001,-0.4821008753,0.2809207772,2021-01-08 06:08:25.336946
A090000454,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000359,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000430,M;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000641,F;S01;9,A090000001,-0.9487703967,0.1999789124,2021-01-08 06:08:25.336946
A090000258,M;S01;9,A090000001,-0.1384338049,0.4218550238,2021-01-08 06:08:25.336946
A090000047,M;S01;9,A090000001,-0.2071495051,0.380110587,2021-01-08 06:08:25.336946
A090000333,F;S01;9,A090000001,-0.7076497263,0.2330759589,2021-01-08 06:08:25.336946
A090000276,F;S01;9,A090000001,-0.13316116,0.4255387126,2021-01-08 06:08:25.336946
A090000476,F;S01;9,A090000001,0.3345240792,0.6838223452,2021-01-08 06:08:25.336946
A090000403,M;S01;9,A090000001,-0.4677918113,0.2847126175,2021-01-08 06:08:25.336946
A090000071,M;S01;9,A090000001,-0.0243467542,0.5090814612,2021-01-08 06:08:25.336946
A090000563,F;S01;9,A090000001,0.0276355472,0.5451965241,2021-01-08 06:08:25.336946
A090000227,M;S01;9,A090000001,-0.1306754462,0.4272980392,2021-01-08 06:08:25.336946
A090000226,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000041,F;S01;9,A090000001,-0.4753101586,0.2827072031,2021-01-08 06:08:25.336946
A090000657,M;S01;9,A090000001,0.0978285229,0.5849338674,2021-01-08 06:08:25.336946
A090000435,F;S01;9,A090000001,0.6559606103,0.7869954076,2021-01-08 06:08:25.336946
A090000161,F;S01;9,A090000001,-0.8064777824,0.2177436476,2021-01-08 06:08:25.336946
A090000512,F;S01;9,A090000001,0.243765689,0.6491663798,2021-01-08 06:08:25.336946
A090000373,M;S01;9,A090000001,0.243765689,0.6491663798,2021-01-08 06:08:25.336946
A090000321,F;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000239,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000122,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000022,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000111,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000594,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000499,F;S01;9,A090000001,0.5554207269,0.7579745664,2021-01-08 06:08:25.336946
A090000130,F;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000620,M;S01;9,A090000001,-0.1285136999,0.4288396244,2021-01-08 06:08:25.336946
A090000170,M;S01;9,A090000001,-0.4821008753,0.2809207772,2021-01-08 06:08:25.336946
A090000482,M;S01;9,A090000001,0.617952574,0.776380642,2021-01-08 06:08:25.336946
A090000324,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000576,M;S01;9,A090000001,0.243765689,0.6491663798,2021-01-08 06:08:25.336946
A090000361,M;S01;9,A090000001,-0.4677918113,0.2847126175,2021-01-08 06:08:25.336946
A090000469,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000536,F;S01;9,A090000001,0.5690751672,0.7620931227,2021-01-08 06:08:25.336946
A090000427,M;S01;9,A090000001,-0.350635601,0.3201623894,2021-01-08 06:08:25.336946
A090000123,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000128,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000034,F;S01;9,A090000001,0.3193741074,0.6782200722,2021-01-08 06:08:25.336946
A090000572,F;S01;9,A090000001,0.7433555739,0.809748024,2021-01-08 06:08:25.336946
A090000370,M;S01;9,A090000001,-0.2488697353,0.3597971538,2021-01-08 06:08:25.336946
A090000539,F;S01;9,A090000001,-0.4753101586,0.2827072031,2021-01-08 06:08:25.336946
A090000067,M;S01;9,A090000001,0.2237656449,0.6411346095,2021-01-08 06:08:25.336946
A090000278,M;S01;9,A090000001,-0.0483404962,0.4906719812,2021-01-08 06:08:25.336946
A090000183,M;S01;9,A090000001,-0.5798110428,0.257643022,2021-01-08 06:08:25.336946
A090000597,F;S01;9,A090000001,-0.0805746741,0.4652236523,2021-01-08 06:08:25.336946
A090000060,M;S01;9,A090000001,-0.5659541122,0.2606842344,2021-01-08 06:08:25.336946
A090000157,F;S01;9,A090000001,-0.031723402,0.5035104079,2021-01-08 06:08:25.336946
A090000291,M;S01;9,A090000001,0.3193741074,0.6782200722,2021-01-08 06:08:25.336946
A090000168,M;S01;9,A090000001,0.2391749528,0.6473372508,2021-01-08 06:08:25.336946
A090000089,M;S01;9,A090000001,-0.5277582668,0.2694985099,2021-01-08 06:08:25.336946
A090000254,F;S01;9,A090000001,0.026373067,0.5443909947,2021-01-08 06:08:25.336946
A090000516,M;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000386,F;S01;9,A090000001,0.7433555739,0.809748024,2021-01-08 06:08:25.336946
A090000009,M;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000140,M;S01;9,A090000001,-0.2415116122,0.3631576151,2021-01-08 06:08:25.336946
A090000203,M;S01;9,A090000001,-0.0228595952,0.510193252,2021-01-08 06:08:25.336946
A090000134,M;S01;9,A090000001,-0.2509142384,0.3588784717,2021-01-08 06:08:25.336946
A090000532,F;S01;9,A090000001,-0.9487467517,0.1999815092,2021-01-08 06:08:25.336946
A090000481,M;S01;9,A090000001,-0.5313550674,0.268640624,2021-01-08 06:08:25.336946
A090000210,M;S01;9,A090000001,-0.4045767784,0.3027924037,2021-01-08 06:08:25.336946
A090000432,M;S01;9,A090000001,-0.7379523393,0.2280727538,2021-01-08 06:08:25.336946
A090000251,F;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
A090000110,M;S01;9,A090000001,-0.7379523393,0.2280727538,2021-01-08 06:08:25.336946
A090000215,F;S01;9,A090000001,0.6229431343,0.7777991945,2021-01-08 06:08:25.336946
A090000245,M;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000299,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000011,F;S01;9,A090000001,-0.4821008753,0.2809207772,2021-01-08 06:08:25.336946
A090000174,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000072,F;S01;9,A090000001,0.0693545105,0.5699057319,2021-01-08 06:08:25.336946
A090000059,M;S01;9,A090000001,-1.0054514469,0.1940494473,2021-01-08 06:08:25.336946
A090000084,M;S01;9,A090000001,0.4100010283,0.710735651,2021-01-08 06:08:25.336946
A090000632,M;S01;9,A090000001,-0.8756951167,0.2085403144,2021-01-08 06:08:25.336946
A090000648,F;S01;9,A090000001,0.0737411709,0.5723069565,2021-01-08 06:08:25.336946
A090000491,F;S01;9,A090000001,0.0615339798,0.5655389395,2021-01-08 06:08:25.336946
A090000031,M;S01;9,A090000001,0.6559606103,0.7869954076,2021-01-08 06:08:25.336946
A090000472,M;S01;9,A090000001,0.7377682048,0.8083624024,2021-01-08 06:08:25.336946
A090000518,F;S01;9,A090000001,-0.4677918113,0.2847126175,2021-01-08 06:08:25.336946
A090000288,F;S01;9,A090000001,-1.0054601071,0.1940485848,2021-01-08 06:08:25.336946
A090000339,F;S01;9,A090000001,1.0232205336,0.8675261027,2021-01-08 06:08:25.336946
A090000150,M;S01;9,A090000001,1.2224949001,0.8962695582,2021-01-08 06:08:25.336946
